#   H/He  AMS02(2011/05-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.456560e+02 2.330000e+02 2.590000e+02 4.181000e+00 3.000000e-02 3.000000e-02 8.700000e-02 8.700000e-02 9.202717e-02 9.202717e-02
2.745340e+02 2.590000e+02 2.910000e+02 4.194000e+00 3.200000e-02 3.200000e-02 8.900000e-02 8.900000e-02 9.457801e-02 9.457801e-02
3.098870e+02 2.910000e+02 3.300000e+02 4.083000e+00 3.300000e-02 3.300000e-02 9.000000e-02 9.000000e-02 9.585927e-02 9.585927e-02
3.536520e+02 3.300000e+02 3.790000e+02 4.026000e+00 3.500000e-02 3.500000e-02 9.200000e-02 9.200000e-02 9.843272e-02 9.843272e-02
4.088260e+02 3.790000e+02 4.410000e+02 4.029000e+00 3.700000e-02 3.700000e-02 9.600000e-02 9.600000e-02 1.028834e-01 1.028834e-01
4.811700e+02 4.410000e+02 5.250000e+02 3.970000e+00 3.900000e-02 3.900000e-02 1.000000e-01 1.000000e-01 1.073359e-01 1.073359e-01
5.810120e+02 5.250000e+02 6.430000e+02 3.842000e+00 4.100000e-02 4.100000e-02 1.040000e-01 1.040000e-01 1.117900e-01 1.117900e-01
7.270120e+02 6.430000e+02 8.220000e+02 3.973000e+00 4.600000e-02 4.600000e-02 1.160000e-01 1.160000e-01 1.247878e-01 1.247878e-01
9.637740e+02 8.220000e+02 1.130000e+03 3.745000e+00 4.700000e-02 4.700000e-02 1.250000e-01 1.250000e-01 1.335440e-01 1.335440e-01
1.426180e+03 1.130000e+03 1.800000e+03 3.676000e+00 5.300000e-02 5.300000e-02 1.500000e-01 1.500000e-01 1.590880e-01 1.590880e-01
